controlo;19;52;6;49
foto;4;6;16;106
proposta;108;4;5;27
posicionar;10;49;7;68
ligar;20;19;12;75
jogar;5;19;11;100
resolver;37;14;13;71
perdão;36;61;12;21
banheiro;23;3;15;23
senador;30;9;87;15
ruim;14;26;11;78
parabéns;47;20;9;55
funcionar;27;17;9;71
aplauso;7;54;17;39
acima;11;46;11;50
prisão;3;6;114;13
logo;66;15;16;38
interessante;19;61;10;55
compartilhar;3;62;6;68
representar;34;23;9;71
fechar;13;57;5;52
dificuldade;29;33;7;58
conservador;3;7;6;107
específico;44;32;9;44
assistir;8;45;3;82
ambiente;45;41;7;31
nícolas;30;56;6;41
news;16;1;96;9
municipal;90;2;4;29
moraes;2;2;127;5
sério;18;11;22;87
postar;2;10;18;98
jeito;5;43;4;75
ex;37;6;71;16
pobre;18;8;18;75
pequeno;35;37;9;50
cometer;7;11;88;26
privado;76;6;13;30
presidência;78;5;28;23
fake;15;0;94;9
pena;18;10;64;33
infantil;107;4;2;9
extremamente;26;25;16;68
recurso;87;6;9;20
coragem;3;49;16;53
comentário;12;45;2;69
aceitar;27;41;5;50
roubar;5;19;66;33
nível;41;27;11;48
município;106;3;1;6
instagram;4;13;4;104
governador;58;18;18;19
empresa;27;4;23;57
corrupção;2;11;96;19
comer;3;30;4;76
escolher;13;49;6;54
proteger;32;34;17;34
pior;24;16;25;58
louvor;11;108;0;2
fogo;11;59;14;34
botar;14;12;32;70
bastante;24;25;6;75
repetir;35;20;20;50
cuidado;9;39;7;62
conhecimento;38;20;4;56
carro;6;29;15;69
motivo;23;38;19;42
livre;17;24;38;39
ideologia;32;10;6;61
enviar;23;41;18;29
aborto;8;9;25;69
prova;24;18;38;36
importância;65;19;2;41
felipe;2;2;19;92
extremo;50;5;16;41
citar;67;15;10;32
república;31;6;75;18
juiz;6;29;52;23
jogo;6;6;13;80
aparecer;9;20;8;73
fruto;4;48;12;41
comunista;13;2;16;84
compromisso;45;35;2;32
simples;17;15;12;76
pregar;2;71;5;37
pandemia;21;8;7;74
audiência;88;3;6;14
permitir;54;41;6;19
perdoar;5;77;4;16
morto;0;36;45;34
apoio;42;4;21;51
reconhecer;29;47;8;31
louvar;0;108;0;3
instituto;92;2;1;9
incrível;9;34;6;67
desejar;42;39;9;31
aberto;28;43;9;33
sul;57;24;8;21
obra;19;63;6;17
mesa;68;19;7;19
menino;9;33;8;57
celular;22;12;14;58
ataque;32;13;26;38
visão;27;42;5;36
responsabilidade;33;20;21;39
debater;88;3;4;19
ajuda;15;36;13;47
policial;12;4;52;31
mínimo;37;6;16;46
moção;85;1;2;0
jamais;8;30;17;49
exército;4;60;19;23
davi;3;73;9;12
caráter;10;31;6;56
posicionamento;29;19;4;51
imagem;7;8;42;48
ferreira;32;1;20;53
crescer;12;35;4;55
adorar;1;92;4;5
terminar;29;41;5;36
período;29;27;9;46
impedir;25;25;35;23
andré;25;19;24;32
rápido;18;26;7;63
promessa;4;72;5;11
liderança;71;17;2;9
item;88;0;2;2
combater;25;7;37;39
atender;58;30;2;19
vítima;15;4;53;26
experiência;20;48;4;31
prático;48;17;10;28
defesa;45;12;27;24
quarto;23;37;5;31
permanecer;37;46;9;18
médico;11;19;9;55
mudança;22;29;3;48
missão;13;35;6;34
sexual;35;3;20;37
pronto;7;19;5;65
pl;80;0;5;17
embora;20;34;6;44
cultural;10;4;2;84
campo;31;15;10;43
bh;2;4;2;59
óbvio;20;9;7;60
solução;30;11;4;53
mudo;5;48;2;34
convidar;27;61;3;17
servir;14;62;2;27
salvar;5;59;11;29
greve;73;1;3;9
negócio;8;30;5;61
estabelecer;53;27;3;19
erro;13;21;15;51
conversa;16;14;11;58
canal;4;12;6;75
agenda;8;25;5;51
sofrimento;2;69;6;24
relatório;83;1;7;7
notícia;8;10;25;58
engraçado;10;6;7;77
derrubar;11;11;31;41
brasília;13;28;28;36
área;23;34;4;34
vergonha;12;16;21;39
milhar;10;43;14;27
encerrar;55;26;1;14
convite;30;45;5;18
conteúdo;30;5;6;58
objectivo;48;12;5;38
democrático;32;0;27;43
cura;1;89;1;5
necessidade;51;28;5;11
faculdade;12;10;3;75
desafio;50;22;8;16
começo;12;33;4;45
boca;2;53;9;34
adiantar;13;21;7;49
youtube;2;13;1;84
transformação;12;78;2;5
silêncio;29;5;19;38
preocupar;15;19;7;52
narrativa;7;0;41;49
manhã;11;31;10;43
longo;27;32;4;38
fortalecer;8;73;2;12
bandeira;5;28;12;47
fome;10;10;4;72
diretor;70;1;10;13
dino;4;0;76;6
batalha;4;60;2;25
baixo;29;15;4;46
início;36;34;3;24
histórico;32;15;9;43
confessar;5;29;27;40
cheio;2;52;7;25
âmbito;40;7;4;41
tarde;19;11;10;46
normal;6;15;11;52
manifestar;23;42;9;12
liberar;12;49;9;22
impossível;15;28;12;36
físico;33;30;3;33
dormir;0;37;4;44
diálogo;37;13;10;29
dito;39;23;8;25
caminhar;11;33;7;47
respeitar;33;12;9;30
literalmente;5;17;22;52
ignorar;5;10;8;61
gosto;3;28;3;47
correr;10;20;7;53
avô;1;33;6;39
