"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"agora";-1,02780730102631;0,326877064976587;-0,952966633119745;0,303075231849153;0,944999369021287;0,055000630978714;0,00497743719975914;0,000503444142275785;0,00471175166297118;0,247754776252334;0,000289218762652258
"como";-1,03834357007663;-0,298842767785692;-0,960990867349097;-0,276580102089122;0,954504146760246;0,0454958532397542;0,00717177851121604;0,000594059866016496;0,00665188470066519;0,249045251002594;0,000412573417163716
"se";1,07050489398315;0,669804654413012;0,847735147212641;0,530419758474702;0,816144468722533;0,183855531277467;0,0146106190382278;0,00571988931634518;0,0127494456762749;0,277671452961326;0,000983000567162994
"sua";-2,08414034484921;0,667353586477141;-0,952367269220562;0,304953413683745;0,944287461213143;0,055712538786857;0,0252817240902416;0,00259217765993957;0,00582039911308204;0,502575074641166;0,00147012633554935
"também";-0,171684829539275;-2,45534311702017;-0,0697526381476618;-0,997564318463447;0,00842508600749646;0,991574913992503;0,000106203949285224;0,0217220697588355;0,00360310421286031;0,438299370196288;0,000692179155456766
"esquerdo";-2,91980504289067;-0,493706390439829;-0,986003902511578;-0,16672223676504;0,983814223605817;0,0161857763941832;0,0236287735268564;0,000675570953329059;0,00277161862527716;0,689800337114249;0,00131880406065114
"isso";-2,68802589158668;1,01852398783458;-0,935121138524703;0,354328175967229;0,92368820375968;0,0763117962403206;0,0660867365290277;0,00948833335787613;0,00914634146341463;0,655385525346386;0,003928629757624
"parar";-0,754619420250178;-2,03923835683646;-0,347049830451405;-0,937846690660926;0,192228525475822;0,807771474524178;0,0023674492908206;0,0172886352937628;0,00415742793791574;0,403315726562688;0,000676262092403501
"essa";0,738795673016834;-1,16268047876945;0,536311197486541;-0,844020319335117;0,412344429330474;0,587655570669526;0,00287432424692338;0,0071188170783037;0,00526607538802661;0,269600301693876;0,000382761122725929
"coisa";-1,82299512671125;1,03018482926369;-0,870604511609471;0,491983520420384;0,844766147035971;0,155233852964029;0,0147375220931839;0,00470634493323754;0,00443458980044346;0,464775635485748;0,000957944085770203
"pt";-1,00252025530556;1,82860466360606;-0,480735669988155;0,876865563014673;0,343117935198522;0,656882064801478;0,0027856066028213;0,00926772454479442;0,00277161862527716;0,401049096868208;0,000445788187635269
